z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
4.7995,0.1770,0.0922,0.6370,0.6370,0.6370,0.6370,0.7320,1.1244,1.1912,1.8503,2.6974
4.9810,0.1860,0.0890,0.6581,0.6581,0.6581,0.6581,0.7571,1.1857,1.2525,1.9580,2.8331
5.1710,0.1940,0.0861,0.6831,0.6831,0.6831,0.6831,0.7866,1.2566,1.3235,2.0820,2.9890
5.3700,0.2040,0.0830,0.7078,0.7078,0.7078,0.7078,0.8159,1.3299,1.3964,2.2103,3.1477
5.5790,0.2140,0.0801,0.7355,0.7355,0.7355,0.7355,0.8485,1.4118,1.4778,2.3534,3.3234
5.7985,0.2250,0.0772,0.7649,0.7649,0.7649,0.7649,0.8831,1.5004,1.5655,2.5081,3.5113
6.0290,0.2360,0.0745,0.7975,0.7975,0.7975,0.7975,0.9216,1.5994,1.6632,2.6806,3.7193
6.2710,0.2480,0.0718,0.8324,0.8324,0.8324,0.8324,0.9625,1.7068,1.7690,2.8678,3.9425
6.5255,0.2610,0.0692,0.8697,0.8697,0.8697,0.8697,1.0063,1.8240,1.8839,3.0720,4.1834
6.7935,0.2750,0.0666,0.9099,0.9099,0.9099,0.9099,1.0534,1.9523,2.0094,3.2957,4.4443
7.0760,0.2900,0.0640,0.9534,0.9534,0.9534,0.9534,1.1043,2.0935,2.1470,3.5414,4.7280
7.3740,0.3060,0.0615,1.0006,1.0006,1.0006,1.0006,1.1594,2.2490,2.2981,3.8123,5.0375
7.6890,0.3240,0.0591,1.0507,1.0507,1.0507,1.0507,1.2179,2.4182,2.4618,4.1071,5.3699
8.0220,0.3420,0.0568,1.1068,1.1068,1.1068,1.1068,1.2833,2.6093,2.6461,4.4398,5.7422
8.3745,0.3630,0.0544,1.1656,1.1656,1.1656,1.1656,1.3518,2.8156,2.8443,4.7993,6.1385
8.7480,0.3840,0.0522,1.2316,1.2316,1.2316,1.2316,1.4287,3.0496,3.0684,5.2067,6.5843
9.1440,0.4080,0.0500,1.3017,1.3017,1.3017,1.3017,1.5103,3.3049,3.3118,5.6517,7.0640
9.5650,0.4340,0.0478,1.3782,1.3782,1.3782,1.3782,1.5992,3.5891,3.5818,6.1474,7.5922
10.0125,0.4610,0.0457,1.4632,1.4632,1.4632,1.4632,1.6978,3.9099,3.8855,6.7068,8.1823
10.4890,0.4920,0.0437,1.5538,1.5538,1.5538,1.5538,1.8031,4.2625,4.2176,7.3221,8.8216
10.9975,0.5250,0.0417,1.6541,1.6541,1.6541,1.6541,1.9194,4.6603,4.5910,8.0166,9.5351
11.5405,0.5610,0.0398,1.7641,1.7641,1.7641,1.7641,2.0468,5.1068,5.0083,8.7966,10.3260
